Nickname,Fullname,RelatedNickname,RelatedFullname,RelationPercentage,Column1,Column7,Column8
TFC3,YAL001C,TFC1,YBR123C,0.989,,,
TFC3,YAL001C,TFC6,YDR362C,0.989,,,
TFC3,YAL001C,YRA1,YDR381W,0.303,,,
TFC3,YAL001C,TFC4,YGR047C,0.989,,,
TFC3,YAL001C,TFC7,YOR110W,0.99,,,
ERP2,YAL007C,ERP1,YAR002C-A,0.728,,,
ERP2,YAL007C,HTA2,YBL003C,0.58,,,
ERP2,YAL007C,HHF1,YBR009C,0.722,,,
ERP2,YAL007C,SSS1,YDR086C,0.322,,,
ERP2,YAL007C,HMO1,YDR174W,0.722,,,
ERP2,YAL007C,YRA1,YDR381W,0.507,,,
ERP2,YAL007C,PMA1,YGL008C,0.825,,,
ERP2,YAL007C,OLE1,YGL055W,0.798,,,
ERP2,YAL007C,EMP24,YGL200C,0.765,,,
ERP2,YAL007C,PHB2,YGR231C,0.322,,,
ERP2,YAL007C,KAR2,YJL034W,0.825,,,
ERP2,YAL007C,RPL10,YLR075W,0.527,,,
ERP2,YAL007C,STM1,YLR150W,0.334,,,
ERP2,YAL007C,FKS1,YLR342W,0.334,,,
ERP2,YAL007C,ERV25,YML012W,0.93,,,
ERP2,YAL007C,SCJ1,YMR214W,0.739,,,
ERP2,YAL007C,POR1,YNL055C,0.334,,,
FUN36,YAL011W,HTA2,YBL003C,0.63,,,
FUN36,YAL011W,RVB1,YDR190C,0.989,,,
FUN36,YAL011W,SWR1,YDR334W,0.99,,,
FUN36,YAL011W,YDR485C,YDR485C,0.989,,,
FUN36,YAL011W,ARP4,YJL081C,0.99,,,
FUN36,YAL011W,ARP6,YLR085C,0.987,,,
FUN36,YAL011W,YML041C,YML041C,0.99,,,
FUN36,YAL011W,RVB2,YPL235W,0.988,,,
TPD3,YAL016W,PPH21,YDL134C,0.99,,,
TPD3,YAL016W,PPH22,YDL188C,0.99,,,
TPD3,YAL016W,CDC55,YGL190C,0.99,,,
TPD3,YAL016W,YGR161C,YGR161C,0.549,,,
TPD3,YAL016W,ZDS2,YML109W,0.781,,,
TPD3,YAL016W,ZDS1,YMR273C,0.934,,,
TPD3,YAL016W,SSB2,YNL209W,0.584,,,
TPD3,YAL016W,RTS1,YOR014W,0.697,,,
TPD3,YAL016W,RRD2,YPL152W,0.36,,,
FUN31,YAL017W,STM1,YLR150W,0.404,,,
FUN30,YAL019W,DRS2,YAL026C,0.639,,,
FUN30,YAL019W,CKA1,YIL035C,0.989,,,
CCR4,YAL021C,CDC39,YCR093W,0.99,,,
CCR4,YAL021C,BTT1,YDR252W,0.73,,,
CCR4,YAL021C,POP2,YNR052C,0.595,,,
LTE1,YAL024C,RFA2,YNL312W,0.829,,,
DRS2,YAL026C,POB3,YML069W,0.38,,,
YAL027W,YAL027W,RVS161,YCR009C,0.625,,,
YAL027W,YAL027W,RIM1,YCR028C-A,0.342,,,
YAL027W,YAL027W,NOP1,YDL014W,0.81,,,
YAL027W,YAL027W,YRA1,YDR381W,0.718,,,
YAL027W,YAL027W,RVS167,YDR388W,0.715,,,
YAL027W,YAL027W,MLC1,YGL106W,0.6,,,
YAL027W,YAL027W,PRK1,YIL095W,0.503,,,
YAL027W,YAL027W,YIL105C,YIL105C,0.338,,,
YAL027W,YAL027W,DPS1,YLL018C,0.511,,,
YAL027W,YAL027W,CRN1,YLR429W,0.989,,,
YAL027W,YAL027W,RAD10,YML095C,0.954,,,
YAL027W,YAL027W,INP52,YNL106C,0.47,,,
YAL027W,YAL027W,RRS1,YOR294W,0.718,,,
YAL027W,YAL027W,YPL004C,YPL004C,0.625,,,
YAL027W,YAL027W,RAD1,YPL022W,0.947,,,
YAL027W,YAL027W,YPL146C,YPL146C,0.6,,,
YAL027W,YAL027W,YPR171W,YPR171W,0.6,,,
POP5,YAL033W,POP4,YBR257W,0.298,,,
POP5,YAL033W,RPP1,YHR062C,0.977,,,
POP5,YAL033W,POP1,YNL221C,0.531,,,
FUN19,YAL034C,KAP123,YER110C,0.989,,,
MTW1,YAL034W-A,YIR010W,YIR010W,0.989,,,
MTW1,YAL034W-A,YPL233W,YPL233W,0.968,,,
PTA1,YAL043C,YAL046C,YAL046C,0.542,,,
PTA1,YAL043C,ILS1,YBL076C,0.822,,,
PTA1,YAL043C,ECM21,YBL101C,0.419,,,
PTA1,YAL043C,MUD1,YBR119W,0.333,,,
PTA1,YAL043C,YDL199C,YDL199C,0.542,,,
PTA1,YAL043C,REF2,YDR195W,0.99,,,
PTA1,YAL043C,PTI1,YGR156W,0.935,,,
PTA1,YAL043C,FIP1,YJR093C,0.961,,,
PTA1,YAL043C,MPE1,YKL059C,0.99,,,
PTA1,YAL043C,CFT2,YLR115W,0.97,,,
PTA1,YAL043C,YSH1,YLR277C,0.989,,,
PTA1,YAL043C,MET17,YLR303W,0.542,,,
OAF1,YAL051W,YCR087CA,YCR087C-A,0.308,,,
OAF1,YAL051W,MAK21,YDR060W,0.318,,,
OAF1,YAL051W,YDR412W,YDR412W,0.647,,,
OAF1,YAL051W,CST6,YIL036W,0.34,,,
OAF1,YAL051W,EBP2,YKL172W,0.341,,,
OAF1,YAL051W,SIK1,YLR197W,0.34,,,
OAF1,YAL051W,NOP58,YOR310C,0.344,,,
OAF1,YAL051W,YPL146C,YPL146C,0.429,,,
OAF1,YAL051W,YPR169W,YPR169W,0.344,,,
ECM1,YAL059W,YMR124W,YMR124W,0.298,,,
